iter	Passed	Remaining
0	2	2504
1	4	2024
2	5	1775
3	6	1640
4	7	1526
5	8	1469
6	9	1418
7	11	1445
8	12	1412
9	13	1368
10	14	1337
11	15	1315
12	17	1314
13	18	1316
14	19	1295
15	20	1276
16	21	1267
17	23	1255
18	24	1273
19	26	1288
20	27	1290
21	28	1277
22	29	1271
23	31	1262
24	32	1254
25	33	1246
26	34	1239
27	35	1235
28	36	1235
29	37	1227
30	39	1233
31	40	1227
32	41	1223
33	42	1220
34	44	1215
35	45	1217
36	46	1210
37	47	1205
38	48	1198
39	49	1196
40	51	1207
41	55	1273
42	57	1283
43	59	1282
44	63	1339
45	64	1347
46	67	1366
47	69	1374
48	70	1373
49	73	1398
50	75	1410
51	78	1438
52	81	1450
53	83	1464
54	85	1470
55	87	1477
56	89	1476
57	90	1474
58	92	1481
59	96	1511
60	98	1513
61	99	1507
62	101	1508
63	103	1509
64	105	1512
65	107	1514
66	109	1522
67	111	1522
68	112	1523
69	114	1518
70	115	1513
71	116	1507
72	119	1512
73	120	1508
74	122	1513
75	126	1538
76	128	1539
77	130	1539
78	132	1546
79	134	1545
80	136	1544
81	138	1551
82	139	1546
83	142	1553
84	144	1552
85	145	1550
86	147	1545
87	149	1545
88	150	1543
89	152	1539
90	154	1540
91	156	1545
92	158	1546
93	163	1573
94	165	1578
95	167	1572
96	168	1565
97	169	1562
98	171	1559
99	173	1561
100	174	1554
101	175	1546
102	176	1539
103	177	1531
104	178	1524
105	179	1517
106	181	1514
107	182	1508
108	183	1502
109	184	1495
110	186	1490
111	187	1482
112	188	1476
113	189	1470
114	190	1463
115	191	1457
116	191	1448
117	192	1442
118	194	1436
119	194	1429
120	195	1423
121	196	1415
122	197	1409
123	198	1402
124	199	1397
125	200	1392
126	201	1384
127	202	1379
128	203	1373
129	204	1369
130	205	1363
131	206	1357
132	207	1351
133	208	1345
134	209	1339
135	210	1334
136	210	1328
137	211	1322
138	212	1316
139	213	1311
140	214	1306
141	215	1299
142	216	1295
143	217	1290
144	217	1284
145	218	1279
146	219	1274
147	221	1273
148	222	1268
149	223	1264
150	224	1259
151	224	1254
152	225	1249
153	226	1244
154	227	1239
155	228	1235
156	229	1230
157	230	1226
158	231	1223
159	232	1219
160	233	1214
161	233	1210
162	234	1205
163	235	1201
164	236	1197
165	237	1193
166	238	1189
167	239	1184
168	240	1181
169	241	1177
170	242	1173
171	243	1170
172	244	1167
173	245	1164
174	246	1161
175	247	1157
176	248	1155
177	249	1152
178	250	1149
179	251	1145
180	252	1141
181	253	1138
182	254	1134
183	254	1130
184	255	1126
185	256	1122
186	257	1118
187	258	1116
188	259	1113
189	260	1110
190	261	1106
191	262	1103
192	263	1100
193	264	1096
194	264	1093
195	265	1090
196	266	1087
197	267	1084
198	268	1081
199	269	1077
200	270	1074
201	271	1071
202	272	1069
203	273	1066
204	274	1063
205	275	1061
206	276	1061
207	278	1058
208	278	1055
209	279	1053
210	280	1050
211	281	1047
212	282	1045
213	284	1043
214	285	1040
215	286	1038
216	287	1036
217	288	1033
218	289	1031
219	290	1030
220	292	1029
221	293	1027
222	294	1026
223	295	1023
224	296	1020
225	297	1017
226	298	1015
227	299	1012
228	300	1010
229	301	1008
230	302	1006
231	303	1005
232	305	1004
233	306	1002
234	307	1000
235	308	998
236	309	996
237	310	994
238	311	991
239	312	989
240	313	986
241	314	984
242	315	982
243	316	979
244	317	978
245	318	976
246	319	974
247	321	973
248	322	971
249	323	969
250	324	968
251	325	965
252	326	963
253	327	960
254	328	958
255	329	956
256	329	954
257	331	952
258	332	950
259	333	948
260	334	945
261	335	943
262	336	941
263	336	939
264	337	937
265	338	935
266	339	933
267	340	930
268	341	928
269	342	926
270	343	923
271	344	921
272	344	918
273	345	916
274	346	913
275	347	912
276	348	910
277	349	908
278	350	907
279	352	905
280	353	903
281	353	901
282	354	898
283	355	896
284	356	894
285	357	891
286	358	889
287	358	887
288	359	884
289	360	883
290	361	880
291	362	878
292	363	876
293	363	873
294	364	871
295	365	869
296	366	867
297	367	865
298	368	863
299	369	861
300	370	859
301	370	857
302	371	855
303	372	852
304	373	850
305	374	850
306	375	848
307	376	846
308	377	844
309	378	841
310	379	839
311	379	837
312	380	835
313	381	833
314	382	831
315	383	829
316	384	827
317	384	825
318	385	823
319	386	821
320	387	819
321	388	817
322	389	816
323	390	814
324	391	813
325	392	811
326	393	810
327	394	809
328	396	807
329	397	806
330	398	805
331	399	804
